$ python tools/pecensus.py TheWardrobe

path                                              fmt     kind      bytes     linker COFF (UTC)          mtime (local)       CompanyName / module
---------------------------------------------- ------ -------- ---------- ---------- ------------------- ------------------- ------------------------------
ta/Managed/UnityEngine.JSONSerializeModule.dll   PE32  managed      27056   csc 8.00 hash 0x8695C515     2026-06-05 17:02:31 
ata/Managed/UnityEngine.LocalizationModule.dll   PE32  managed      26544   csc 8.00 hash 0x886D8F25     2026-06-05 17:02:31 
Data/Managed/UnityEngine.MarshallingModule.dll   PE32  managed      83376   csc 8.00 hash 0xE4807F9B     2026-06-05 17:02:31 
Data/Managed/UnityEngine.MultiplayerModule.dll   PE32  managed      17840   csc 8.00 hash 0xEA169FC2     2026-06-05 17:02:31 
robe_Data/Managed/UnityEngine.NVIDIAModule.dll   PE32  managed      40368   csc 8.00 hash 0x8472478A     2026-06-05 17:02:42 
a/Managed/UnityEngine.ParticleSystemModule.dll   PE32  managed     171440   csc 8.00 hash 0x95BD06B0     2026-06-05 17:02:31 
ged/UnityEngine.PerformanceReportingModule.dll   PE32  managed      25008   csc 8.00 hash 0xE7E4E075     2026-06-05 17:02:42 
e_Data/Managed/UnityEngine.Physics2DModule.dll   PE32  managed     573360   csc 8.00 hash 0xF718391C     2026-06-05 17:02:28 
aged/UnityEngine.PhysicsBackendPhysXModule.dll   PE32  managed      14256   csc 8.00 hash 0x90382298     2026-06-05 17:02:31 
obe_Data/Managed/UnityEngine.PhysicsModule.dll   PE32  managed     181672   csc 8.00 hash 0xC57EB018     2026-06-05 17:02:32 
_Data/Managed/UnityEngine.PropertiesModule.dll   PE32  managed     149416   csc 8.00 hash 0xA6EC03F1     2026-06-05 17:02:32 
_Data/Managed/UnityEngine.RenderAs2DModule.dll   PE32  managed      25520   csc 8.00 hash 0x84F8AADD     2026-06-05 17:02:33 
meInitializeOnLoadManagerInitializerModule.dll   PE32  managed      24488   csc 8.00 hash 0x87F1270A     2026-06-05 17:02:32 
ta/Managed/UnityEngine.ScreenCaptureModule.dll   PE32  managed      26024   csc 8.00 hash 0xB2D43219     2026-06-05 17:02:32 
ta/Managed/UnityEngine.ShaderRuntimeModule.dll   PE32  managed      25520   csc 8.00 hash 0x945458D3     2026-06-05 17:02:32 
d/UnityEngine.ShaderVariantAnalyticsModule.dll   PE32  managed      24496   csc 8.00 hash 0xF114B64B     2026-06-05 17:02:32 
/Managed/UnityEngine.SharedInternalsModule.dll   PE32  managed      37800   csc 8.00 hash 0x8DCEC161     2026-06-05 17:02:32 
e_Data/Managed/UnityEngine.SpatialTracking.dll   PE32  managed      11776  csc 48.00 hash 0xF72D6A32     2026-06-05 17:02:31 
_Data/Managed/UnityEngine.SpriteMaskModule.dll   PE32  managed      28592   csc 8.00 hash 0xEF0FCB20     2026-06-05 17:02:32 
Data/Managed/UnityEngine.SpriteShapeModule.dll   PE32  managed      31664   csc 8.00 hash 0xFBD5BCB0     2026-06-05 17:02:32 
e_Data/Managed/UnityEngine.StreamingModule.dll   PE32  managed      25520   csc 8.00 hash 0xF0567FB3     2026-06-05 17:02:32 
e_Data/Managed/UnityEngine.SubstanceModule.dll   PE32  managed      29104   csc 8.00 hash 0x85CF7F50     2026-06-05 17:02:31 
_Data/Managed/UnityEngine.SubsystemsModule.dll   PE32  managed      41904   csc 8.00 hash 0x9926A9C7     2026-06-05 17:02:32 
ardrobe_Data/Managed/UnityEngine.TLSModule.dll   PE32  managed      31144   csc 8.00 hash 0xFCB84C07     2026-06-05 17:02:32 
obe_Data/Managed/UnityEngine.TerrainModule.dll   PE32  managed     133032   csc 8.00 hash 0xB2647D1D     2026-06-05 17:02:42 
a/Managed/UnityEngine.TerrainPhysicsModule.dll   PE32  managed      25520   csc 8.00 hash 0x9ABE7975     2026-06-05 17:02:31 
naged/UnityEngine.TextCoreFontEngineModule.dll   PE32  managed      81840   csc 8.00 hash 0x8849649D     2026-06-05 17:02:31 
naged/UnityEngine.TextCoreTextEngineModule.dll   PE32  managed     327600   csc 8.00 hash 0xC4DDD1E5     2026-06-05 17:02:28 
ta/Managed/UnityEngine.TextRenderingModule.dll   PE32  managed      39336   csc 8.00 hash 0xAC104BDE     2026-06-05 17:02:42 
obe_Data/Managed/UnityEngine.TilemapModule.dll   PE32  managed      57776   csc 8.00 hash 0xA0BBB115     2026-06-05 17:02:31 
The Wardrobe_Data/Managed/UnityEngine.UI.dll     PE32  managed     276480  csc 48.00 hash 0xEA404A32     2026-06-05 17:02:28 Microsoft
_Data/Managed/UnityEngine.UIElementsModule.dll   PE32  managed    2418608   csc 8.00 hash 0xB0E6FD54     2026-06-05 17:02:28 
Wardrobe_Data/Managed/UnityEngine.UIModule.dll   PE32  managed      49584   csc 8.00 hash 0x88BE3131     2026-06-05 17:02:32 
drobe_Data/Managed/UnityEngine.UmbraModule.dll   PE32  managed      24488   csc 8.00 hash 0xBED2DDC9     2026-06-05 17:02:43 
ged/UnityEngine.UnityAnalyticsCommonModule.dll   PE32  managed      35760   csc 8.00 hash 0x8B24F242     2026-06-05 17:02:33 
a/Managed/UnityEngine.UnityAnalyticsModule.dll   PE32  managed      60848   csc 8.00 hash 0xA332C2F9     2026-06-05 17:02:32 
ata/Managed/UnityEngine.UnityConnectModule.dll   PE32  managed      27560   csc 8.00 hash 0x88D4A30E     2026-06-05 17:02:32 
ata/Managed/UnityEngine.UnityConsentModule.dll   PE32  managed      16304   csc 8.00 hash 0xC1E5ED2D     2026-06-05 17:02:31 
e_Data/Managed/UnityEngine.UnityCurlModule.dll   PE32  managed      26032   csc 8.00 hash 0xCF3814C3     2026-06-05 17:02:32 
ityEngine.UnityWebRequestAssetBundleModule.dll   PE32  managed      28584   csc 8.00 hash 0xC3281838     2026-06-05 17:02:31 
ged/UnityEngine.UnityWebRequestAudioModule.dll   PE32  managed      28072   csc 8.00 hash 0xB2A7A69A     2026-06-05 17:02:31 
/Managed/UnityEngine.UnityWebRequestModule.dll   PE32  managed      69032   csc 8.00 hash 0x8DC3864C     2026-06-05 17:02:40 
d/UnityEngine.UnityWebRequestTextureModule.dll   PE32  managed      27568   csc 8.00 hash 0xC14984AF     2026-06-05 17:02:43 
naged/UnityEngine.UnityWebRequestWWWModule.dll   PE32  managed      36272   csc 8.00 hash 0xA2D223D5     2026-06-05 17:02:32 
ardrobe_Data/Managed/UnityEngine.VFXModule.dll   PE32  managed      78256   csc 8.00 hash 0xC534FDB8     2026-06-05 17:02:31 
Wardrobe_Data/Managed/UnityEngine.VRModule.dll   PE32  managed      31656   csc 8.00 hash 0x9E6B269E     2026-06-05 17:02:33 
a/Managed/UnityEngine.VectorGraphicsModule.dll   PE32  managed     252336   csc 8.00 hash 0xFDC5B15C     2026-06-05 17:02:32 
